Index,hkl,U_g_real,U_g_imag,g_mag
327,"(-6, 7, -10)",-6.53559106820653e-05,-1.2478763096431625e-07,1.4037642447804743
328,"(-6, 8, -11)",0.0004703094166654,0.0001024675882843,1.528749723932958
329,"(-6, 9, -12)",0.0006112900131977,0.0001062030613368,1.6573115816830502
31,"(1, 13, -13)",7.052594811239107e-05,4.263234241763878e-06,1.9120121978041005
34,"(1, -11, 13)",0.0001405419612851,2.6513395648786603e-05,1.723043289960303
132,"(8, 1, 3)",0.0017819394085485,0.0004083674100542,1.0248799197046572
158,"(10, 1, 4)",0.0005471490929389,0.0001237174931683,1.2834244919218805
159,"(10, -8, 14)",0.0012809533785636,0.0004079554687766,1.962250898656256
181,"(11, -4, 10)",0.0005649907394988,0.000109149893377,1.6696991317198886
202,"(14, 2, 5)",-5.832647151736726e-06,-5.923237684715607e-07,1.7921134134690715
226,"(-14, 2, -8)",0.001124908861821,0.0004233041796778,1.86914291183326
227,"(-14, 3, -9)",-0.0004080712115783,-6.183046956314092e-05,1.9204648973613745
252,"(-12, -3, -2)",5.598645788482352e-06,-1.7632270115981564e-05,1.530499046505232
290,"(-9, -1, -3)",-0.0007390768530511,-0.0001483862443668,1.1438066815505945
318,"(-6, 4, -7)",0.0006467730057807,0.0002606500110786,1.0627769500460402
324,"(-6, 10, -13)",-0.0002205017377447,-2.9645329667350545e-05,1.7886788241579672
70,"(3, -11, 14)",-0.0008273523185676,-0.0004487494745514,1.8125962900732544
82,"(4, -8, 11)",0.0001477155245554,5.656074361552267e-05,1.4260577372700856
100,"(5, -11, 15)",-9.089339955956116e-05,-9.383559523060848e-06,1.9333826840590096
105,"(5, -4, 7)",-0.0022401412413505,-0.0003675333748239,0.9811254493281284
111,"(6, -8, 12)",0.0015653418784209,0.0006639182831406,1.5822137916821537
139,"(8, -8, 13)",-0.0001321674017667,-1.834659656367141e-05,1.7632346570074993
161,"(9, -4, 9)",0.0002875419999972,5.6648719963233376e-05,1.4295557639451306
187,"(12, 2, 4)",0.0026119834586093,0.0008688297492029,1.5354679204522754
203,"(13, -3, 10)",-0.0012223304957191,-0.0004564301205366,1.8482316117755049
207,"(14, 3, 4)",-0.0001600811048874,-2.439548943065877e-05,1.793917280421164
229,"(-14, 1, -7)",0.0002526843814677,3.671950593537703e-05,1.8281929122963152
257,"(-11, 4, -9)",-0.0006022175777425,-9.787399118092968e-05,1.6280330401196124
258,"(-11, 5, -10)",-0.0016348449764127,-0.000603767898971,1.707831061452834
259,"(-11, 6, -11)",-3.693940764938009e-05,-5.433908738659758e-06,1.7960975992578458
260,"(-11, 7, -12)",-0.0009028131882001,-0.0003988728456397,1.891647571433738
261,"(-11, 8, -13)",0.0001763156717369,2.322797022895161e-05,1.993433916591468
324,"(-6, 3, -6)",0.0005293672728493,0.0002033404782462,0.967114455205214
332,"(-6, 11, -14)",-0.0005049012722427,-6.768982415231213e-05,1.922276382328037
396,"(-2, -13, 14)",-4.101548547539932e-05,-9.175117510271277e-06,1.973966691282628
132,"(7, -4, 8)",-0.0009402498103943,-0.0002438840617412,1.197998470163103
161,"(10, 2, 3)",-0.0010452341586568,-0.0002084507130695,1.2804253759052489
212,"(15, -2, 10)",5.513589771042026e-05,2.61704476777534e-06,2.047930457083184
221,"(-15, -5, -1)",1.8926772701439337e-05,9.457189637942384e-07,1.9438608817627
226,"(-14, 0, -6)",0.0010072978702007,0.0004437737396795,1.7983235863267548
254,"(-11, 3, -8)",-0.0015642460730295,-0.0006580057323492,1.5580053022482885
403,"(-1, 10, -11)",-0.0010891388386531,-0.000196483749088,1.523563866107624
11,"(0, -13, 15)",-7.162759400893551e-19,1.7983917420523055e-18,2.0113616789267845
159,"(10, -7, 13)",0.0002217056466751,2.1899628818740257e-05,1.8548633560204828
178,"(11, -3, 9)",-0.0002650122601863,-5.269365550165706e-05,1.5969726258468078
182,"(12, 3, 3)",0.000423249215924,8.612303997646634e-05,1.542268978710556
201,"(14, 4, 3)",4.775168695598206e-05,6.5577727618181685e-06,1.8076759189927367
230,"(-14, -1, -5)",0.0001028066565976,1.122922457685823e-05,1.780092810659724
248,"(-12, -4, -1)",-0.0001025535639416,-1.0833055351986637e-05,1.5559261104042652
252,"(-11, 2, -7)",0.0017206978994737,0.0003327524844552,1.4991176607595322
402,"(-1, 11, -12)",-0.0022015341336485,-0.0007547008525834,1.6697589126484125
127,"(8, -7, 12)",-0.0001928772425577,-3.872573612822375e-05,1.6472853673846568
147,"(9, -3, 8)",-0.0016009837125529,-0.000746241145177,1.3492661728375213
175,"(12, -6, 13)",-0.0001529938799459,-1.6151603762318693e-05,1.980412545235288
190,"(13, -2, 9)",-0.0005181806406129,-7.454555743405552e-05,1.7908119999491516
196,"(14, 5, 2)",-0.0001558222533451,-2.00961581293664e-05,1.833120166293932
204,"(15, -1, 9)",0.0003571938922151,4.374077868083259e-05,2.0034190366975766
245,"(-11, 1, -6)",-0.0024855598603974,-0.0008995294256542,1.4527254718711171
285,"(-8, 6, -10)",0.0027893623585677,0.0009379482378737,1.4863788629706387
286,"(-8, 7, -11)",-0.0007415693459379,-0.0001511212437656,1.5960020791431262
287,"(-8, 8, -12)",0.0006184431727494,0.0004466395077769,1.7112005860877777
288,"(-8, 9, -13)",0.000226314026234,3.0134632096863583e-05,1.8309223227323987
397,"(-1, 12, -13)",0.0002297440645928,3.453532714383808e-05,1.81604710717632
90,"(5, -10, 14)",-0.0001780313039022,-2.870232588092904e-05,1.796588927520845
101,"(6, -7, 11)",0.0008816733111125,0.00012520922892,1.4568514866702906
118,"(7, -10, 15)",-0.0001812477949348,-1.2271417821379993e-05,1.9497610319080696
172,"(11, -2, 8)",-0.0002741697146774,-6.468699546785776e-05,1.5348720604000257
222,"(-14, -2, -4)",0.0011669465475607,0.0004769274896952,1.7738594659218168
281,"(-8, 5, -9)",0.001002138836801,0.0001941120118396,1.3836567163849824
286,"(-8, 10, -14)",0.0014662669556043,0.0004386963648715,1.9543361928765293
